t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,near_direction,enemy_state,enemy_source_direction,enemy_turn_direction,enemy_slow,enemy_confirmed,vision_sequence,vision_status,reason,left_cmd,right_cmd,healthy
0.042,650.0,1074.0,1048.0,876.0,0.483,0.877,0.7306,0.6745,0.7025,0,0,0,0,0,0,1,-3.0,392.0,1373.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,传感器无效或数据过期,0,0,1
0.062,647.0,1069.0,1043.0,872.0,0.4783,0.872,0.7245,0.6678,0.6961,0,0,0,0,0,0,1,22.0,606.0,1357.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,传感器无效或数据过期,0,0,1
0.082,650.0,1074.0,1048.0,874.0,0.483,0.877,0.7306,0.6678,0.6992,0,0,0,0,0,0,1,-6.0,138.0,1371.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,等待滤波窗口,0,0,1
0.102,646.0,1068.0,1041.0,871.0,0.4768,0.871,0.7221,0.6628,0.6924,0,0,0,0,0,0,1,-205.0,833.0,1359.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,等待滤波窗口,0,0,1
0.122,651.0,1075.0,1050.0,878.0,0.483,0.877,0.7306,0.6678,0.6992,0,0,0,0,0,0,1,197.0,994.0,1375.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.143,648.0,1070.0,1045.0,873.0,0.4768,0.869,0.7233,0.6644,0.6939,0,0,0,0,0,0,1,198.0,230.0,1383.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.164,646.0,1066.0,1041.0,870.0,0.4768,0.869,0.7233,0.6644,0.6939,0,0,0,0,0,0,1,23.0,237.0,1356.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.184,650.0,1073.0,1047.0,875.0,0.4768,0.869,0.7233,0.6644,0.6939,0,0,0,0,0,0,1,92.0,133.0,1372.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.204,650.0,1075.0,1048.0,875.0,0.483,0.875,0.7282,0.6711,0.6996,0,0,0,0,0,0,1,50.0,882.0,1374.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.224,645.0,1064.0,1040.0,867.0,0.483,0.875,0.7282,0.6711,0.6996,0,0,0,0,0,0,1,6.0,226.0,1371.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.244,645.0,1067.0,1040.0,869.0,0.4675,0.8631,0.7112,0.651,0.6811,0,0,0,0,0,0,1,-446.0,125.0,1341.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.264,649.0,1073.0,1047.0,874.0,0.4675,0.8631,0.7112,0.651,0.6811,0,0,0,0,0,0,1,146.0,22.0,1354.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.284,645.0,1066.0,1041.0,869.0,0.4675,0.8631,0.7136,0.651,0.6823,0,0,0,0,0,0,1,23.0,93.0,1370.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.304,646.0,1066.0,1040.0,866.0,0.4706,0.8611,0.7136,0.651,0.6823,0,0,0,0,0,0,1,163.0,225.0,1356.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.325,652.0,1075.0,1044.0,871.0,0.4706,0.8611,0.7136,0.651,0.6823,0,0,0,0,0,0,1,33.0,617.0,1374.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.345,654.0,1077.0,1033.0,870.0,0.4892,0.879,0.7112,0.6544,0.6828,0,0,0,0,0,0,1,-12.0,392.0,1369.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.365,652.0,1082.0,1026.0,873.0,0.4892,0.8829,0.6942,0.6577,0.6759,0,0,0,0,0,0,1,66.0,510.0,1371.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
0.385,658.0,1080.0,1009.0,870.0,0.4954,0.8889,0.6772,0.6544,0.6658,0,0,0,0,0,0,1,22.0,230.0,1344.0,1,1,0,patrol,EDGE_AVOID,EDGE_AVOID,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,前向灰度趋势变暗，提前离边,-400,-400,1
