t,front,rear,left,right,zone_front,zone_rear,zone_left,zone_right,zone_score,ir_front,ir_rear,ir_left_front,ir_left_rear,ir_right_front,ir_right_rear,ir_valid,analog_diff,shovel_left,shovel_right,shovel_valid,shovel_preheat,shovel_active,mode,state,patrol_state,reentry_state,shovel_state,hunt_mode,hunt_state,hunt_target_type,good_offset_x,bad_offset_x,near_direction,enemy_state,enemy_source_direction,enemy_turn_direction,enemy_slow,enemy_confirmed,vision_sequence,vision_status,reason,left_cmd,right_cmd,healthy
0.024,817.0,1514.0,1125.0,1138.0,1.0,1.75,0.9175,1.5537,1.2768,0,0,0,0,0,0,1,217.0,248.0,990.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,传感器无效或数据过期,0,0,1
0.045,818.0,1516.0,1126.0,1139.0,1.0015,1.752,0.9187,1.5554,1.2785,0,0,0,0,0,0,1,216.0,637.0,987.0,1,0,0,reentry,SENSOR_STOP,WARMUP,SENSOR_STOP,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,传感器无效或数据过期,0,0,1
0.065,811.0,1504.0,1118.0,1130.0,0.9814,1.7302,0.9005,1.5268,1.2541,0,0,0,0,0,0,1,200.0,246.0,989.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,等待滤波窗口,0,0,1
0.085,811.0,1504.0,1118.0,1130.0,0.9814,1.7302,0.9005,1.5268,1.2541,0,0,0,0,0,0,1,200.0,246.0,989.0,1,0,0,patrol,WARMUP,WARMUP,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,等待滤波窗口,0,0,1
0.105,809.0,1502.0,1115.0,1128.0,0.9814,1.7302,0.9005,1.5268,1.2541,0,0,0,0,0,0,1,217.0,161.0,988.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.125,812.0,1509.0,1120.0,1133.0,0.9814,1.7302,0.9005,1.5268,1.2541,0,0,0,0,0,0,1,216.0,145.0,1013.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.145,811.0,1505.0,1119.0,1132.0,0.9814,1.7321,0.9029,1.5336,1.2575,0,0,0,0,0,0,1,221.0,437.0,989.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.165,821.0,1525.0,1130.0,1145.0,0.9845,1.7401,0.9053,1.5369,1.2607,0,0,0,0,0,0,1,240.0,264.0,990.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.185,824.0,1529.0,1134.0,1148.0,1.0124,1.7718,0.9296,1.5772,1.2948,0,0,0,0,0,0,1,217.0,362.0,988.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.205,821.0,1521.0,1129.0,1143.0,1.0124,1.7718,0.9296,1.5772,1.2948,0,0,0,0,0,0,1,233.0,247.0,999.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.225,824.0,1526.0,1133.0,1147.0,1.0217,1.7738,0.9369,1.5839,1.3028,0,0,0,0,0,0,1,215.0,376.0,989.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.246,822.0,1525.0,1131.0,1145.0,1.0155,1.7718,0.932,1.5772,1.2963,0,0,0,0,0,0,1,215.0,245.0,990.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.266,821.0,1522.0,1129.0,1143.0,1.0155,1.7718,0.932,1.5772,1.2963,0,0,0,0,0,0,1,217.0,264.0,988.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.286,825.0,1532.0,1135.0,1148.0,1.0155,1.7718,0.932,1.5772,1.2963,0,0,0,0,0,0,1,216.0,655.0,989.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.306,824.0,1532.0,1133.0,1146.0,1.0217,1.7857,0.9369,1.5805,1.3011,0,0,0,0,0,0,1,214.0,296.0,989.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.326,822.0,1529.0,1128.0,1145.0,1.0217,1.7857,0.9369,1.5805,1.3011,0,0,0,0,0,0,1,215.0,344.0,1008.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.346,817.0,1533.0,1127.0,1146.0,1.0155,1.7857,0.9248,1.5805,1.298,0,0,0,0,0,0,1,216.0,819.0,1006.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.366,816.0,1536.0,1126.0,1149.0,1.0,1.7877,0.9223,1.5805,1.2903,0,0,0,0,0,0,1,217.0,296.0,1019.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.386,812.0,1532.0,1123.0,1147.0,0.9969,1.7877,0.9199,1.5839,1.2904,0,0,0,0,0,0,1,216.0,458.0,1022.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.406,822.0,1536.0,1136.0,1147.0,0.9969,1.7937,0.9199,1.5839,1.2904,0,0,0,0,0,0,1,215.0,787.0,1041.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.426,812.0,1509.0,1140.0,1140.0,0.9845,1.7857,0.9442,1.5839,1.2842,0,0,0,0,0,0,1,234.0,376.0,1021.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.446,798.0,1496.0,1141.0,1110.0,0.9845,1.7401,0.9539,1.5604,1.2725,0,0,0,0,0,0,1,250.0,112.0,1004.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.467,812.0,1486.0,1146.0,1146.0,0.9845,1.7143,0.9563,1.5604,1.2725,0,0,0,0,0,0,1,264.0,736.0,1025.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.487,827.0,1487.0,1137.0,1177.0,0.9845,1.6964,0.9563,1.5805,1.2825,0,0,0,0,0,0,1,248.0,734.0,1025.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.507,844.0,1496.0,1125.0,1162.0,1.031,1.6964,0.9466,1.6342,1.3326,0,0,0,0,0,0,1,292.0,573.0,1019.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.527,864.0,1494.0,1121.0,1155.0,1.0836,1.7103,0.9175,1.6342,1.3589,0,0,0,0,0,0,1,282.0,378.0,1018.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.547,818.0,1485.0,1113.0,1138.0,1.0836,1.7103,0.9078,1.6107,1.3472,0,0,0,0,0,0,1,296.0,736.0,1009.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.567,789.0,1472.0,1109.0,1111.0,1.0031,1.6925,0.8883,1.5537,1.2784,0,0,0,0,0,0,1,312.0,360.0,1024.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.587,784.0,1468.0,1101.0,1122.0,0.9133,1.6667,0.8786,1.5,1.2067,0,0,0,0,0,0,1,330.0,311.0,1037.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.607,791.0,1444.0,1095.0,1117.0,0.9133,1.6587,0.8592,1.4832,1.1983,0,0,0,0,0,0,1,347.0,263.0,1021.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.627,779.0,1437.0,1089.0,1105.0,0.8978,1.6111,0.8447,1.4832,1.1905,0,0,0,0,0,0,1,361.0,144.0,1021.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.647,758.0,1420.0,1071.0,1075.0,0.8824,1.5972,0.8301,1.443,1.1627,0,0,0,0,0,0,1,379.0,245.0,1004.0,1,0,0,patrol,CRUISE,CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,450,450,1
0.667,746.0,1403.0,1066.0,1061.0,0.8173,1.5635,0.7864,1.3423,1.0798,0,0,0,0,0,0,1,429.0,139.0,1020.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.688,746.0,1403.0,1066.0,1061.0,0.7802,1.5298,0.7743,1.2953,1.0377,0,0,0,0,0,0,1,429.0,139.0,1020.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.708,752.0,1432.0,1068.0,1072.0,0.7802,1.5298,0.7743,1.2953,1.0377,0,0,0,0,0,0,1,445.0,410.0,1054.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.728,753.0,1419.0,1041.0,1074.0,0.7988,1.5615,0.7743,1.3322,1.0655,0,0,0,0,0,0,1,462.0,50.0,1037.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.748,747.0,1463.0,1069.0,1065.0,0.7988,1.5873,0.7791,1.3322,1.0655,0,0,0,0,0,0,1,543.0,23.0,969.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.768,737.0,1456.0,1060.0,1057.0,0.7833,1.6349,0.7597,1.3087,1.046,0,0,0,0,0,0,1,560.0,160.0,971.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.788,752.0,1448.0,1092.0,1061.0,0.7833,1.6349,0.7816,1.2953,1.0393,0,0,0,0,0,0,1,591.0,23.0,1021.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.808,758.0,1436.0,1089.0,1062.0,0.7988,1.619,0.8301,1.2953,1.0627,0,0,0,0,0,0,1,635.0,24.0,989.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.829,740.0,1393.0,1063.0,1060.0,0.7988,1.5952,0.8301,1.2953,1.0627,0,0,0,0,0,0,1,705.0,33.0,1018.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.849,738.0,1412.0,1061.0,1051.0,0.7616,1.5476,0.767,1.2919,1.0295,0,0,0,0,0,0,1,743.0,61.0,1021.0,1,0,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.869,727.0,1414.0,1057.0,1043.0,0.7554,1.5476,0.7621,1.2617,1.0119,0,0,0,0,0,0,1,778.0,62.0,1006.0,1,1,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.889,719.0,1426.0,1050.0,1049.0,0.7214,1.5516,0.7524,1.255,1.0037,0,0,0,0,0,0,1,833.0,41.0,1020.0,1,1,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.909,713.0,1403.0,1045.0,1037.0,0.6966,1.5516,0.7354,1.2349,0.9852,0,0,0,0,0,0,1,959.0,51.0,1036.0,1,1,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.929,712.0,1391.0,1037.0,1015.0,0.678,1.5298,0.7233,1.2148,0.969,0,0,0,0,0,0,1,1039.0,78.0,1022.0,1,1,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.949,706.0,1360.0,1041.0,996.0,0.6749,1.506,0.7136,1.1409,0.9273,0,0,0,0,0,0,1,1120.0,425.0,1039.0,1,1,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.969,703.0,1357.0,1043.0,993.0,0.6563,1.4444,0.7136,1.0772,0.8954,1,0,0,0,0,0,1,1215.0,408.0,1022.0,1,1,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IR_UNCLASSIFIED,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
0.989,704.0,1368.0,1034.0,989.0,0.6502,1.4444,0.7136,1.0671,0.8904,0,0,0,0,0,0,1,1337.0,23.0,875.0,1,1,0,patrol,MEDIUM_CRUISE,MEDIUM_CRUISE,WAIT,IDLE,,IDLE,,,,,IDLE,,,0,0,,stale,按区域分级巡航,400,400,1
